&	0.0
'n	-2.95061
'tis	-5.50667
0	-2.228269
06	-3.26819
1	-2.17182
1/2	-3.345877
10	-2.661869
100	-3.393842
100v	-6.523871
101	-4.118397
1020-s	-7.814496
1033	-5.582707
104	-4.340622
1040	-5.390006
105	-4.328718
106	-4.394916
11	-2.855474
110	-4.233223
11974	-6.890181
12	-2.846305
1200	-4.805343
12205	-6.668432
123	-4.4122
125cc	-6.502846
128mb	-5.994386
13	-3.062423
135203	-8.903491
14	-3.057576
1421	-5.768912
1492	-5.746954
14k	-5.160763
15	-2.998077
1503	-5.771764
151	-4.581109
16	-3.06075
1616	-5.723039
17	-3.120612
1776	-5.566166
18	-3.106131
182	-4.706638
1868	-5.410492
19	-3.130396
1918	-5.011451
19215	-6.977604
1932	-4.994695
1936	-4.975632
1938	-4.989152
1945	-4.818511
1951	-4.915709
1956	-4.869137
1957	-4.866798
1959	-4.828906
1964	-4.766249
1966	-4.76843
1967	-4.723347
1970	-4.569241
1972	-4.658994
1973	-4.650279
1974	-4.641573
1976	-4.613261
1980	-4.467942
1981	-4.539355
1984	-4.468456
1985	-4.447182
1986	-4.424882
1991	-4.239323
1992	-4.200646
1993	-4.173537
1997	-3.918788
1999	-3.748893
19th	-4.684093
2	-2.341267
2000	-3.533109
2001	-3.590692
2002	-3.522294
2003	-3.428078
2004	-3.363863
2005	-3.225176
2006	-3.131303
2007	-3.010713
20120	-7.038922
208900	-8.676823
21	-3.1259
2130	-5.82865
215	-4.592146
2222	-5.687665
23320	-6.970939
24	-3.147948
246	-4.76126
24x24x1	-8.271162
250	-4.07232
255	-4.474756
26	-3.281446
26p	-6.771529
275	-4.697304
2mm	-5.934601
3	-2.46127
30	-3.060233
300	-4.03782
300zx	-6.686954
30349	-7.208857
31	-3.324577
32541	-7.204295
33401	-6.987725
34551	-7.933614
349	-4.885999
355	-4.868226
379	-4.956614
38	-3.677224
3914678	-9.479527
3d	-4.15834
3m	-4.912621
3rd	-4.336823
4	-2.543213
4-leaf	-7.162759
40	-3.454422
401k	-5.805615
40222	-7.306667
4030	-6.108339
40th	-5.449145
42	-3.687242
435	-4.922353
44	-3.659616
45s	-6.532222
4l60e	-7.481863
4ppl	-8.334349
4q	-5.74493
4th	-4.448612
4x2	-6.009618
4x4	-5.26278
5	-2.564817
50	-3.304398
500	-3.782565
502	-4.915117
50th	-5.421985
525	-4.918776
555	-4.986052
56k	-5.498166
586	-5.095526
6	-2.703793
638	-5.153566
64	-3.828947
6400	-5.651849
6663	-6.446856
6800uf	-8.863941
7	-2.74334
70	-3.792778
71	-4.055227
717	-5.062442
740	-5.018353
76	-4.087137
77068	-7.647918
77f517e2	-28.02182
7th	-4.655271
8	-2.762656
80	-3.769227
800	-3.916722
80s	-5.109868
831	-5.135423
84	-4.101705
85	-4.024735
87	-4.141839
883	-5.261702
8mm	-5.721023
8th	-4.660205
9	-2.789466
905	-5.073103
909	-5.159184
90r	-7.389737
92	-4.109728
93	-4.110652
98011	-7.313
9805	-6.545074
98gold	-9.352157
98se	-6.328891
99	-3.225342
9news	-6.356764
9th	-4.711301
a	-1.808942
a.a.	-3.138433
a900	-6.773056
